,Date,Adj_Close,Close,High,Low,Open,Volume
0,2010-01-04 00:00:00+00:00,7.639999866,7.639999866,7.961429119,7.565713882,7.931428909,17239600
1,2010-01-05 00:00:00+00:00,7.358571053,7.358571053,7.657143116,7.258571148,7.652856827,23753100
2,2010-01-06 00:00:00+00:00,7.617143154,7.617143154,7.672856808,7.197143078,7.361429214,23290400
3,2010-01-07 00:00:00+00:00,7.485713959,7.485713959,7.757143021,7.46285677,7.7314291,9955400
4,2010-01-08 00:00:00+00:00,7.614285946,7.614285946,7.742856979,7.465713978,7.498570919,8180900
5,2010-01-11 00:00:00+00:00,7.604286194,7.604286194,7.704286098,7.528571129,7.659999847,6783700
6,2010-01-12 00:00:00+00:00,7.4814291,7.4814291,7.582857132,7.45142889,7.528571129,6330100
7,2010-01-13 00:00:00+00:00,7.708570957,7.708570957,7.754285812,7.558570862,7.612856865,14422100
8,2010-01-14 00:00:00+00:00,7.284286022,7.284286022,7.575714111,7.269999981,7.5185709,17685500
9,2010-01-15 00:00:00+00:00,7.278571129,7.278571129,7.407143116,7.232857227,7.245714188,13031200
10,2010-01-19 00:00:00+00:00,7.314286232,7.314286232,7.382856846,7.242856979,7.25,5302500
11,2010-01-20 00:00:00+00:00,7.320000172,7.320000172,7.492856979,7.221428871,7.265714169,9685200
12,2010-01-21 00:00:00+00:00,7.312857151,7.312857151,7.454286098,7.214285851,7.217143059,8614900
13,2010-01-22 00:00:00+00:00,7.269999981,7.269999981,7.484285831,7.214285851,7.297142982,9395400
14,2010-01-25 00:00:00+00:00,7.0185709,7.0185709,7.357142925,6.931428909,7.29285717,13791400
15,2010-01-26 00:00:00+00:00,7.135714054,7.135714054,7.178571224,6.937142849,6.960000038,11343500
16,2010-01-27 00:00:00+00:00,7.281428814,7.281428814,7.311429024,6.992856979,7.142857075,23347100
17,2010-01-28 00:00:00+00:00,9.005714417,9.005714417,9.121429443,8.675713539,8.812856674,77352800
18,2010-01-29 00:00:00+00:00,8.892856598,8.892856598,9.224286079,8.79285717,8.962857246,24604300
19,2010-02-01 00:00:00+00:00,8.718570709,8.718570709,8.9814291,8.532856941,8.829999924,18914000
20,2010-02-02 00:00:00+00:00,8.83571434,8.83571434,8.878570557,8.695713997,8.70714283,10242400
21,2010-02-03 00:00:00+00:00,8.850000381,8.850000381,8.98285675,8.761428833,8.83571434,8761200
